open,high,low,close,volume
0.01341,0.013426,0.013409,0.013413,2164381.27
0.013412,0.013432,0.01341,0.01342,882910.51
0.013429,0.013449,0.013423,0.013445,1603723.29
0.013444,0.013449,0.013396,0.013396,758631.61
0.013406,0.013432,0.013393,0.013397,850729.21
0.013399,0.013408,0.013345,0.013364,1478074.5
0.013372,0.013388,0.013367,0.013371,398787.0
0.013371,0.013378,0.013355,0.013356,474547.26
0.01336,0.013387,0.01336,0.013387,752993.89
0.013391,0.013418,0.013391,0.013406,633930.43
0.013396,0.013406,0.013366,0.013366,1966169.08
0.013366,0.013382,0.013356,0.013378,676487.25
0.013377,0.013404,0.013377,0.013404,678765.45
0.0134,0.013418,0.013399,0.013399,335817.42
0.013394,0.013401,0.013388,0.013388,538861.71
0.013384,0.013389,0.013368,0.013379,847108.28
0.013377,0.013399,0.013377,0.013387,808332.96
0.013388,0.013394,0.013379,0.013384,983636.49
0.013384,0.013384,0.013369,0.013369,307472.72
0.013371,0.013384,0.013371,0.013383,331959.27
0.013383,0.013394,0.013344,0.013348,1634520.61
0.013351,0.01336,0.013328,0.013346,1057224.53
0.013354,0.013357,0.01333,0.013338,667067.87
0.013341,0.013352,0.013335,0.013342,964610.71
0.01335,0.013367,0.01335,0.013367,347786.93
0.013367,0.013367,0.013326,0.01334,1826832.23
0.013345,0.013353,0.013325,0.013329,342340.04
0.013331,0.013346,0.013314,0.013338,738970.08
0.013346,0.013346,0.013314,0.013322,261076.37
0.013329,0.013343,0.01332,0.013335,849819.53
0.013333,0.013333,0.013302,0.013312,1417603.71
0.013312,0.013325,0.013287,0.013303,2228224.12
0.013306,0.013333,0.013301,0.013304,1241649.13
0.013319,0.013322,0.013283,0.013293,1602698.52
0.013295,0.013296,0.01328,0.013286,566481.31
0.013286,0.013314,0.013286,0.01331,874128.53
0.013306,0.013324,0.013301,0.013323,473353.3
0.013324,0.013332,0.013319,0.013322,887181.83
0.013332,0.013334,0.013327,0.013333,165512.3
0.013335,0.013335,0.013309,0.013323,594776.88
0.013324,0.01335,0.013323,0.013342,527980.79
0.013342,0.01335,0.013338,0.01335,273419.0
0.013353,0.01336,0.01334,0.013347,605031.19
0.013347,0.013359,0.013336,0.013352,358734.82
0.013347,0.013347,0.013287,0.013305,1592954.53
0.013304,0.013333,0.01329,0.013318,432350.69
0.013318,0.013324,0.013267,0.013267,2140283.75
0.013276,0.013282,0.01326,0.01326,414673.65
0.01326,0.013273,0.01325,0.01326,714833.02
0.013255,0.013265,0.01323,0.013238,1612753.15
0.013233,0.013249,0.01306,0.013108,8746513.76
0.013115,0.013124,0.01305,0.013052,9340937.44
0.01305,0.013097,0.013012,0.013076,3235473.92
0.013089,0.013089,0.01298,0.013076,6260430.43
0.013065,0.013116,0.013029,0.013105,1636485.57
0.01309,0.013161,0.013076,0.013139,2051774.14
0.013134,0.013172,0.013114,0.01315,2165277.31
0.013138,0.013158,0.013137,0.013151,314488.32
0.013153,0.013159,0.013127,0.01315,908832.18
0.013148,0.013167,0.013125,0.013159,496979.84
0.013166,0.013183,0.013156,0.013179,1005068.85
0.013179,0.013179,0.013134,0.013134,286074.57
0.013134,0.013139,0.013118,0.013128,962377.04
0.013127,0.013147,0.013103,0.013141,2044016.54
0.013138,0.013138,0.013079,0.01309,1253579.39
0.013077,0.013098,0.013057,0.013057,1085684.84
0.013057,0.013072,0.01304,0.013051,1143796.45
0.013051,0.013098,0.013022,0.01309,2371622.12
0.013095,0.013124,0.013095,0.013114,370396.15
0.013116,0.013129,0.013111,0.013122,339537.65
0.013115,0.013115,0.013058,0.013068,942321.74
0.013058,0.013074,0.013031,0.013074,1615568.94
0.013072,0.013075,0.013049,0.013072,677300.27
0.01306,0.013076,0.01305,0.013068,360838.12
0.013068,0.013068,0.013027,0.013027,677992.44
0.013027,0.013041,0.013015,0.013027,575314.74
0.013026,0.013027,0.013,0.013009,1454933.44
0.013004,0.013033,0.012992,0.013005,2054667.44
0.012998,0.013015,0.012965,0.012987,4312455.99
0.012986,0.013027,0.012978,0.013027,1203926.04
0.013027,0.013032,0.013011,0.013032,280261.8
0.013035,0.013065,0.013035,0.013065,1316099.71
0.013059,0.013065,0.013036,0.013049,690048.48
0.013037,0.013039,0.013018,0.013024,551843.29
0.013024,0.013039,0.013011,0.013021,796613.43
0.013021,0.013022,0.012998,0.013008,512828.99
0.013007,0.013036,0.013006,0.013036,248032.64
0.013025,0.013049,0.013022,0.013049,149664.54
0.013046,0.013057,0.013036,0.013057,1347336.39
0.01306,0.01306,0.01305,0.013054,170580.85
0.013054,0.013054,0.013032,0.013032,63722.85
0.01303,0.01303,0.013005,0.013009,590082.41
0.01301,0.013028,0.013001,0.013002,774173.22
0.013001,0.013006,0.012988,0.013001,736280.22
0.013001,0.013001,0.012982,0.01299,1292755.26
0.01299,0.012993,0.012971,0.01298,805731.35
0.012978,0.012978,0.012881,0.012901,7934973.07
0.012902,0.012945,0.012852,0.012933,3467220.39
0.012921,0.012957,0.012911,0.012952,1068000.3
0.012956,0.012979,0.012956,0.012964,300027.57
0.01297,0.012984,0.01297,0.012981,632517.52
0.012978,0.012978,0.012913,0.012919,504116.37
0.012919,0.012919,0.012887,0.0129,1693068.42
0.012897,0.012947,0.012891,0.012947,1010938.17
0.01295,0.012984,0.01295,0.012984,501538.91
0.012978,0.012987,0.012974,0.012981,216259.17
0.012982,0.012987,0.012968,0.012976,562618.4
0.012977,0.012988,0.01297,0.012977,205729.4
